"","T","N","s_est_mean","s_est_sd","mise_mean","mise_sd","s_0","additional_info"
"1",33,30,0.063,0.247168145383041,0.00342806061470562,0.00664234431070199,0,"nsim = 1000"
"2",33,60,0.016,0.125537881771837,0.00136888615553768,0.00202267802188725,0,"seed = 123"
"3",33,120,0.007,0.0834143750078963,0.000657923277820018,0.000994976964604429,0,""
"4",33,300,0.006,0.0772655807586403,0.000229443748936974,0.000318309516510631,0,""
"5",65,30,0.076,0.276225089918169,0.00180207763923769,0.00298948137803682,0,""
"6",65,60,0.025,0.162485080550189,0.000738632771361789,0.00168622085658664,0,""
"7",65,120,0.01,0.0995485304256668,0.000333874654441347,0.000546448209930323,0,""
"8",65,300,0.006,0.0772655807586403,0.00010496337348096,0.000150787202503776,0,""
"9",129,30,0.092,0.309243644448243,0.000898877671874069,0.00124887800104098,0,""
"10",129,60,0.031,0.173404351355637,0.000368490217770731,0.00053187221261036,0,""
"11",129,120,0.012,0.108939744206914,0.000147453827506614,0.000214402402764524,0,""
"12",129,300,0.002,0.0446989708829856,5.1845930777246e-05,7.3246483765177e-05,0,""
