T,N,s_est1_mean,s_est2_mean,s_est1_sd,s_est2_sd,mise1_mean,mise1_sd,mise2_mean,mise2_sd,hd1_mean,hd2_mean,hd1_sd,hd2_sd,hd_mean,hd_sd,s_01,s_02,taed_mean,taed_sd
33,30,2,3,0,0,0.004701797763354275,0.003944809199374487,0.006694962472814907,0.004679338293801128,0,0,0,0,0,0,0,0,41.325965134826625,2.1833793778706823
33,60,2,3,0,0,0.002257763047713364,0.0018347617138587235,0.003140313515542491,0.0022680216061633372,0,0,0,0,0,0,0,0,20.626018969370527,0.9215713204078553
33,120,2,3,0,0,0.0011725310742372746,9.839683983599563e-4,0.0015587119854011556,0.0010780903336162836,0,0,0,0,0,0,0,0,13.173152389609864,0.46584107909545475
33,300,2,3,0,0,4.5306113193474236e-4,3.714499000395246e-4,5.977175008536492e-4,4.18356565708283e-4,0,0,0,0,0,0,0,0,7.3925098520331955,0.18719367798723294
65,30,2,3,0,0,0.002258536857039225,0.0018252656294513911,0.0033426718417130918,0.0023038968493450723,0,0,0,0,0,0,0,0,42.257121998632634,1.6245818698141663
65,60,2,3,0,0,0.0011992656401854794,0.0010517552445510918,0.0015256718644854918,0.001052330108770901,0,0,0,0,0,0,0,0,21.31336638068525,0.6985299763891335
65,120,2,3,0,0,5.72930610082058e-4,4.7962894199030077e-4,7.814112234434512e-4,5.617880262449718e-4,0,0,0,0,0,0,0,0,13.613756879290117,0.3375659600730943
65,300,2,3,0,0,2.2622663805857315e-4,1.8497403571875415e-4,3.2871688064026124e-4,2.2507106308691682e-4,0,0,0,0,0,0,0,0,7.668887920190814,0.12638878522520172
129,30,2,3,0,0,0.0011491318793814007,9.405619667066572e-4,0.0015230158812953995,0.0010190978691419512,0,0,0,0,0,0,0,0,42.87128295228262,1.2817965866573533
129,60,2,3,0,0,5.961779344469694e-4,5.190919806238027e-4,7.909405343554663e-4,5.510040881974182e-4,0,0,0,0,0,0,0,0,21.73738314522755,0.544426645252176
129,120,2,3,0,0,2.953176986464311e-4,2.3746140934061244e-4,3.8483243158974803e-4,2.802745834629883e-4,0,0,0,0,0,0,0,0,13.902330213921827,0.24520308987385822
129,300,2,3,0,0,1.1181786182501629e-4,9.025220084807313e-5,1.585576050891311e-4,1.1461565962984299e-4,0,0,0,0,0,0,0,0,7.81618433548309,0.1022169633338577
