T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,time_effect_mise_mean,time_effect_mise_sd,taed_mean,taed_sd
33,1,30,1,0,0.004933407785420207,0.005265597297283322,0,0,0,0,0,0.0484155089676836,0.012049630070077753,0.11382151354645093,0.09997502097555644
33,1,60,1,0,0.002336989457224678,0.0022231521677349743,0,0,0,0,0,0.024888532128344135,0.005813839255456771,0.12367710071143684,0.08857599140199836
33,1,120,1,0,0.0012309308764485224,0.0012382279766736462,0,0,0,0,0,0.011955702202322022,0.002935643657293652,0.11676842724605296,0.056921777413815
33,1,300,1,0,4.570694582032639e-4,4.4701875623244416e-4,0,0,0,0,0,0.004977758974457036,0.001232732786909872,0.005907209866288931,0.006742522423731518
33,2,30,2,0,0.007014815497607302,0.005770735196471417,0,0,0,0,0,0.048613753701137484,0.012109797134246987,0.11883530455874007,0.10611608685386509
33,2,60,2,0,0.0033514002738170593,0.002570827629251978,0,0,0,0,0,0.024060001159729574,0.0058677789775606415,0.13203301471592363,0.09444350724012618
33,2,120,2,0,0.0017788965600350453,0.0015736051563545396,0,0,0,0,0,0.012230446950123111,0.0029191801817473996,0.10330889107672736,0.05648533177392276
33,2,300,2,0,6.423377415166887e-4,5.003488154213391e-4,0,0,0,0,0,0.004798216124948711,0.0012094839945742818,0.0036881060616714076,0.003668423863105371
33,3,30,3,0,0.009370763651211443,0.0068072887734268814,0,0,0,0,0,0.050077034781715615,0.011835185819510638,0.13315113405295467,0.12487205524970597
33,3,60,3,0,0.004438830301076419,0.0031658908336719958,0,0,0,0,0,0.024342583311087965,0.005992532545699049,0.12791708693980533,0.08970943746933514
33,3,120,3,0,0.002252235026419493,0.0016875221359964679,0,0,0,0,0,0.012154784686904991,0.003008886780699561,0.09800813791397162,0.05646715639922192
33,3,300,3,0,9.255157802977427e-4,6.397425458943421e-4,0,0,0,0,0,0.004908736750719832,0.0011900813532240426,0.0041580906868508545,0.0037144585122367833
65,1,30,1,0,0.002393511455001676,0.0022454669947049484,0,0,0,0,0,0.04960383050215235,0.008786255020168738,0.04514339942990488,0.04313245813005766
65,1,60,1,0,0.001222813905551724,0.0011504752962134604,0,0,0,0,0,0.024479525257289816,0.004356173961058937,0.04629066302906085,0.032277528126342984
65,1,120,1,0,6.145297830612902e-4,5.974498342448052e-4,0,0,0,0,0,0.01240895148932423,0.0021023364625676485,0.04726284604666804,0.01925967393113277
65,1,300,1,0,2.2676860701319784e-4,2.3424833053016742e-4,0,0,0,0,0,0.004940644075459767,8.712127895040641e-4,0.004402675365203863,0.0038609167087958842
65,2,30,2,0,0.0032738889952218034,0.0026732870283589895,0,0,0,0,0,0.05005967552664143,0.008600727364065018,0.04340200273750673,0.03510338012197524
65,2,60,2,0,0.001725396476539095,0.0013445609288699049,0,0,0,0,0,0.024759326457094003,0.004452022844094738,0.055546417732079856,0.03080012201768842
65,2,120,2,0,8.845813945171244e-4,6.940444192784112e-4,0,0,0,0,0,0.01228128619766149,0.0022079192167260564,0.04765530487286232,0.021807238389876506
65,2,300,2,0,3.337147114363585e-4,2.6737759759319337e-4,0,0,0,0,0,0.00496899889557073,8.779713773004527e-4,0.001357827397628946,0.0015097054516225463
65,3,30,3,0,0.004802489926371465,0.0035488483444100724,0,0,0,0,0,0.04970931111387936,0.00925464961261651,0.044235837019222415,0.032052367288665264
65,3,60,3,0,0.0024285102965345474,0.001730929172796773,0,0,0,0,0,0.024523005456594447,0.004262341018184612,0.05304104957307394,0.031265326881882764
65,3,120,3,0,0.001171901112547527,8.048363654006248e-4,0,0,0,0,0,0.01256246803686203,0.0022291189801201474,0.048755333442846105,0.02181556658798782
65,3,300,3,0,4.4248510275734875e-4,3.1740403317715685e-4,0,0,0,0,0,0.004909388633834199,8.346845491262743e-4,0.0016653047969756975,0.0029652895874472665
129,1,30,1,0,0.0011495747622922074,0.0010642457757038789,0,0,0,0,0,0.049749377124161,0.006346465911106454,0.016665065481067012,0.018267429971221542
129,1,60,1,0,5.888747590694837e-4,6.093083768590071e-4,0,0,0,0,0,0.024951574211777586,0.0032401592033339988,0.010324890983969241,0.01134158283803654
129,1,120,1,0,2.8324234670185853e-4,2.6558336760726473e-4,0,0,0,0,0,0.012443605381983013,0.00162099957823081,0.006769731029510959,0.006701828213220319
129,1,300,1,0,1.1897579232060576e-4,1.3530735342554936e-4,0,0,0,0,0,0.004998353024672184,6.195572678992758e-4,0.01242181149636832,0.0038055472621848167
129,2,30,2,0,0.0018538656696804393,0.001564938946505004,0,0,0,0,0,0.049871121889606476,0.00626587976895043,0.014099664600247643,0.010587490663486248
129,2,60,2,0,8.779977772447936e-4,6.826893323336431e-4,0,0,0,0,0,0.024616264655188107,0.003053194655277188,0.010660931569103435,0.006683569308675184
129,2,120,2,0,4.489626716421825e-4,3.7187553482716034e-4,0,0,0,0,0,0.012478735826198946,0.00156275009340814,0.010218498278706361,0.005623643516706412
129,2,300,2,0,1.580483981767709e-4,1.2932734358589375e-4,0,0,0,0,0,0.004944545412297899,6.347113225999943e-4,0.01336717927568688,0.004673931612624727
129,3,30,3,0,0.0024390668655381183,0.0016227567631096505,0,0,0,0,0,0.049871201668121576,0.005849584743812846,0.012355362023205935,0.009458629597787656
129,3,60,3,0,0.0011330573298432207,8.558398281132429e-4,0,0,0,0,0,0.0251171657166754,0.0030745137539265545,0.010520474109594639,0.006092689374223294
129,3,120,3,0,5.757876719803294e-4,4.1411239787583044e-4,0,0,0,0,0,0.012378051021873827,0.0015130695685757717,0.009648631106559008,0.004513919619713052
129,3,300,3,0,2.3267348176511188e-4,1.6301766441282516e-4,0,0,0,0,0,0.004957110473923615,5.993799872050711e-4,0.01357333859753636,0.004345400777642665
