T,N,s_est_mean,s_est_sd,mise_mean,mise_sd,s_0,taed_mean,taed_sd
33,30,0,0,0.003818364632948913,0.005227766818208987,0,0.009224893423089447,0.010076571894833847
33,60,0,0,0.0017885532099397284,0.002365788832105568,0,0.004498053448138408,0.004877819463305067
33,120,0,0,8.492844928400091e-4,0.0011980201520308666,0,0.0022081814042924507,0.0025449505443468695
33,300,0,0,3.6074943517026907e-4,5.11723745004828e-4,0,9.272800391511649e-4,0.0010611175063843371
65,30,0,0,0.001822948176899582,0.002611037416024133,0,0.004560521013496517,0.005343181563407741
65,60,0,0,8.932033374440964e-4,0.0012505912145151178,0,0.0022193933022176394,0.002626264060867431
65,120,0,0,4.2873351448694815e-4,6.962884965416542e-4,0,0.0010888602620992218,0.0014257277331043532
65,300,0,0,1.7836803113900347e-4,2.505733097399967e-4,0,4.5858525202238545e-4,5.166646425265674e-4
129,30,0,0,9.640236823917828e-4,0.0014367610436545864,0,0.002264466832911662,0.002800409567233103
129,60,0,0,4.464385537695801e-4,6.368515280524498e-4,0,0.0010969050548814273,0.0012781576953728461
129,120,0,0,2.483806030453134e-4,3.5108947459413007e-4,0,6.157261070346755e-4,7.173369380192046e-4
129,300,0,0,9.821139462986204e-5,1.4451635726317274e-4,0,2.4307624738593376e-4,2.8987411611482714e-4
