T,N,s_est_mean,s_est_sd,mise1_mean,mise1_sd,mise2_mean,mise2_sd,hd1_mean,hd1_sd,hd2_mean,hd2_sd,additional_info
33,30,5.118,0.346866881190081,0.0266769718335516,0.0175151760198317,0.0269309496922895,0.0171976394307527,5.086,0.497089726702117,3.072,0.388739291136035,nsim =500
33,60,5,0,0.0120481101747823,0.00728397846159782,0.0116149614016424,0.00671867453980465,5,0,3,0,rng =321
33,120,5,0,0.00579803093740753,0.00322336670029856,0.00568702072135667,0.0033313871215079,5,0,3,0,n.grid =40
33,300,5,0,0.00231749691425755,0.00138769629975994,0.00237053975181826,0.00139356062595358,5,0,3,0,ellapsed time =20099.7559
65,30,5.014,0.117608092096817,0.013367296806019,0.00826317370314744,0.0136236496703703,0.0084318247381326,10.036,0.539709711925115,6.032,0.446513996979938,
65,60,5,0,0.00630074951197912,0.0038245304919062,0.00650910428357886,0.00366045409292716,10,0,6,0,
65,120,5,0,0.00309910623731633,0.00175867593699233,0.00312575435194692,0.00181491917542788,10,0,6,0,
65,300,5,0,0.0012663697187172,0.000696146681830492,0.00128378432338572,0.000745236909919407,10,0,6,0,
129,30,5.002,0.0447213595499867,0.00690707862080857,0.00388922820568505,0.00648766563264486,0.00378328685779237,21,0,11,0,
129,60,5,0,0.0033439550537759,0.00201936963686543,0.00322568776055402,0.00178121139755681,21,0,11,0,
129,120,5,0,0.00163950134681828,0.000948428485687836,0.00162147192247585,0.000963305814229625,21,0,11,0,
129,300,5,0,0.000649358037050954,0.000362271556298896,0.000644974346371562,0.000369784717453442,21,0,11,0,
