T,N,s_est,mse1,mse2,hd1,hd2
33,25,4.25,0.0701025132686586,0.0689534647237569,6.75,7.25
33,50,4,0.0140321039766044,0.0210827913674971,7,7
33,100,4,0.0100184817040977,0.00753349094103427,7,7
33,200,4,0.00344217208043049,0.00285907482296773,7,7
65,25,5.25,0.0168591610550063,0.0399217456665802,13,13.75
65,50,4.5,0.00653968334732309,0.00769841767797855,13,13.75
65,100,4,0.00329273962350945,0.00302250061624133,13,13
65,200,4,0.00126478285117966,0.00123136274995431,13,13
129,25,5.75,0.0110470654263175,0.0177842859149493,26,31
129,50,4.5,0.0031215325184018,0.00475563970345051,26,26
129,100,4,0.00189328167437556,0.00160674686741522,26,26
129,200,4,0.000764063059820265,0.000966967624637788,26,26
