T,N,s_est_mean,s_est_sd,mise1_mean,mise1_sd,mise2_mean,mise2_sd,hd1_mean,hd1_sd,hd2_mean,hd2_sd,taed_mean,taed_sd
33,30,9.228,2.99097104894569,0.0499627886009144,0.0272149802559818,0.0516208947538543,0.0271959559761759,0.231090909090909,0.0623284434842003,0.15769696969697,0.0523141661780117,0.200887487587824,0.0896032991665843
33,60,6.066,1.43588562743352,0.0149592603418552,0.0101512364706349,0.0140844445651008,0.00928637279447623,0.175333333333333,0.0461247328261474,0.111636363636364,0.037985142486519,0.0580691216116373,0.0318576060395314
33,120,5.196,0.496060633697745,0.00519373452994943,0.00345836133845608,0.00510644346269247,0.00340026517839188,0.156484848484848,0.0232026357924968,0.0950909090909091,0.0187713379507373,0.0206509404034432,0.0105026237117853
33,300,5,0,0.00164760054367245,0.000887154424678162,0.00175839029897573,0.000975699173013845,0.151515151515151,6.80278130556828e-09,0.0909090909090909,3.52978989590318e-09,0.00687488743229999,0.00262941778107353
65,30,6.678,2.34377955559187,0.0188894071674951,0.0143806470418452,0.0183291427294592,0.0145574688723845,0.192184615384616,0.0568132212732365,0.122215384615385,0.0461509274037274,0.074061491132915,0.051775961477351
65,60,5.202,0.563765610273146,0.00540817770142759,0.00357333675594199,0.00531191809216785,0.00371060273307858,0.158984615384615,0.0241659879208961,0.0968307692307692,0.0194770053411697,0.0215063489694492,0.0116047982747392
65,120,5.024,0.165767783105858,0.00227717473999624,0.00141346638922137,0.00226137994036306,0.00135219882428408,0.154615384615385,0.00923359496341188,0.0929846153846153,0.00745055601169535,0.0091218018407866,0.00409398680387846
65,300,5,0,0.000904465979302031,0.000524268405852823,0.000881265006247865,0.000536130925293136,0.153846153846154,2.66827035567668e-09,0.0923076923076922,5.66025618761407e-09,0.00358902414258047,0.0015109559570571
129,30,5.238,0.725540362512845,0.00556342843066397,0.00443917146050793,0.00577481681649595,0.00433906792536702,0.16753488372093,0.0212075014672743,0.0900155038759689,0.0202488903228271,0.0227067480058304,0.0140616873066757
129,60,5.018,0.147375163707305,0.00234996178391389,0.00130505305650634,0.00233158215922761,0.00151599851993575,0.163038759689922,0.00554683529302475,0.0855658914728681,0.00531160499719183,0.00938706763557683,0.0040106140341344
129,120,5,0,0.00113402389374762,0.000657019118062159,0.0011245779056264,0.000602300676631962,0.162790697674419,4.99187674311379e-09,0.0852713178294572,4.21890586852295e-09,0.00452798560915778,0.00179130531610735
129,300,5,0,0.000463173823787418,0.000259771996800346,0.000440974935889101,0.000265424765298651,0.162790697674419,4.99187674311379e-09,0.0852713178294572,4.21890586852295e-09,0.00181268791100998,0.000720142402612562
