dgp,T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,taed_mean,taed_sd
2,33,1,30,1.038,0.229480549601248,0.000248794137049431,0.000290201474489224,0,0,0.00921212121212121,15.5347929021327,0,0.000495386305019912,0.000575538232090208
2,33,1,60,1.002,0.0447213595499956,9.97060293995826e-05,0.000108993695354074,0,0,0.000787878787878788,15.530689958225,0,0.000199295032861957,0.000217521351942135
2,33,1,120,1,0,4.49951810293772e-05,4.34064327229464e-05,0,0,0,15.5306899782498,0,8.99882982471864e-05,8.68130754967412e-05
2,33,1,300,1,0,1.71258148020111e-05,1.76996411535204e-05,0,0,0,15.5306899782498,0,3.42511711840522e-05,3.53979753007102e-05
2,33,2,30,2.034,0.202301388288382,0.000331196369472584,0.000295652862108073,0,0,0.00381818181818182,20.3824603350241,0,0.000662071942110062,0.000589074471523269
2,33,2,60,2.006,0.0773042812773494,0.000151712927143358,0.000132612585553927,0,0,0.000787878787878788,20.3835466858368,0,0.000303431149108289,0.000265239359805624
2,33,2,120,2,0,6.72294791598951e-05,5.45090633478364e-05,0,0,0,20.3840305964529,0,0.000134272396734852,0.000108866424203549
2,33,2,300,2,0,2.60192947850749e-05,2.04577002279768e-05,0,0,0,20.3840305964529,0,5.20030923297115e-05,4.08102921010825e-05
2,33,3,30,3.042,0.237378805698382,0.000411969843776141,0.00034060644842393,0,0,0.00303030303030303,23.2950666884201,0,0.000823845929930741,0.000682534067333233
2,33,3,60,3.008,0.0891734478845296,0.000178400460801049,0.000129959518878622,0,0,0.000303030303030303,23.2959137105621,0,0.000356473188578018,0.000259580762689068
2,33,3,120,3,0,8.15400145728591e-05,5.97215119444298e-05,0,0,0,23.2960349673747,0,0.000163190768447022,0.000119445486418988
2,33,3,300,3,0,3.43349649904443e-05,2.56733198096856e-05,0,0,0,23.2960349673747,0,6.87180096637142e-05,5.1437245657502e-05
2,65,1,30,1.004,0.0631821491240675,0.000118021986341748,0.000122719401561912,0,0,0.000676923076923077,31.5398974435558,0,0.000236001456829308,0.000245192821004491
2,65,1,60,1,0,4.94552579691989e-05,4.73907106266725e-05,0,0,0,31.5392473404458,0,9.8910856631326e-05,9.47807332326926e-05
2,65,1,120,1,0,2.35245535081246e-05,2.1475283158727e-05,0,0,0,31.5392473404458,0,4.70490765669651e-05,4.29518360385259e-05
2,65,1,300,1,0,8.93787382473816e-06,8.74064593877138e-06,0,0,0,31.5392473404458,0,1.78754863007632e-05,1.74816493063147e-05
2,65,2,30,2,0,0.000168018551425012,0.000126355529757838,0,0,0,41.3952621343351,0,0.000336086085651879,0.00025278477369844
2,65,2,60,2,0,7.25650599751587e-05,5.7538821806854e-05,0,0,0,41.3952621343351,0,0.000145297436803764,0.000115211779329778
2,65,2,120,2,0,3.37672754530637e-05,2.87799400295511e-05,0,0,0,41.3952621343351,0,6.75582523170507e-05,5.75806190998851e-05
2,65,2,300,2,0,1.43421256418219e-05,1.16842577108156e-05,0,0,0,41.3952621343351,0,2.86852094640864e-05,2.33394277395761e-05
2,65,3,30,3.004,0.0631821491240702,0.000220307615061967,0.000154178490216233,0,0,0.000553846153846154,47.3086249272442,0,0.000440435502733507,0.000307849148297042
2,65,3,60,3,0,9.51377427424797e-05,6.61785457517998e-05,0,0,0,47.3088710106687,0,0.000190052129997696,0.000132087848084307
2,65,3,120,3,0,4.3774971712081e-05,3.13991982278304e-05,0,0,0,47.3088710106687,0,8.75588131647674e-05,6.27875006145053e-05
2,65,3,300,3,0,1.73556750791615e-05,1.18408334352468e-05,0,0,0,47.3088710106687,0,3.47226738887717e-05,2.37789531414709e-05
2,129,1,30,1,0,6.84461154131066e-05,7.28927065983438e-05,0,0,0,63.5674752598133,0,0.000136892250226602,0.000145785183372527
2,129,1,60,1,0,2.72449400456975e-05,2.72338738492222e-05,0,0,0,63.5674752598133,0,5.44899922569361e-05,5.44678859504401e-05
2,129,1,120,1,0,1.19466594872123e-05,1.18793327238483e-05,0,0,0,63.5674752598133,0,2.38932880842242e-05,2.37587787579093e-05
2,129,1,300,1,0,4.40694693708243e-06,4.23516424493587e-06,0,0,0,63.5674752598133,0,8.81391861042825e-06,8.47042802822004e-06
2,129,2,30,2.002,0.0447213595499968,8.79863629915366e-05,7.18108862094837e-05,0,0,0.000232558139534884,84.4255530791184,0,0.0001759619151433,0.000143632356351068
2,129,2,60,2,0,4.031071111757e-05,3.27877855939221e-05,0,0,0,84.4255530794394,0,8.06289993783744e-05,6.56058776859484e-05
2,129,2,120,2,0,1.83522117353702e-05,1.44515441944452e-05,0,0,0,84.4255530794394,0,3.66973235314334e-05,2.88844922766929e-05
2,129,2,300,2,0,6.74202853150649e-06,5.54672955106496e-06,0,0,0,84.4255530794394,0,1.34863791239221e-05,1.10962227309284e-05
2,129,3,30,3,0,0.000115635753329682,7.54708677586886e-05,0,0,0,95.3512128897198,0,0.00023126838143398,0.000150963120248476
2,129,3,60,3,0,4.94220713303693e-05,3.3129626372626e-05,0,0,0,95.3512128897198,0,9.88476970934842e-05,6.62510576513417e-05
2,129,3,120,3,0,2.33039487351185e-05,1.64156645895439e-05,0,0,0,95.3512128897198,0,4.66124199582047e-05,3.28283684230274e-05
2,129,3,300,3,0,8.87476565942095e-06,5.95870763621375e-06,0,0,0,95.3512128897198,0,1.77560339453984e-05,1.19173238054942e-05
3,33,1,30,1.458,0.8727883586747,0.00546753412753906,0.0065314919314472,0,0,0.0782424242424243,15.563601045509,0,0.0107627685479134,0.01284659744375
3,33,1,60,1.09,0.306737960403836,0.00158599168955173,0.00182478653671237,0,0,0.0204242424242424,15.540346194282,0,0.00314207944091825,0.00355536579643949
3,33,1,120,1.012,0.108994309571822,0.000602237987179077,0.000702812351891863,0,0,0.00242424242424242,15.5322206601947,0,0.00119949247721243,0.00137239091404975
3,33,1,300,1,0,0.000226727803833552,0.000235678208608158,0,0,0,15.5306899782498,0,0.000453403907974488,0.000471279704716969
3,33,2,30,2.518,0.979589296787568,0.00724443178192554,0.00727445234168558,0,0,0.049030303030303,20.360314561383,0,0.0141846887235661,0.0140461274587915
