T,N,s_est_mean,s_est_sd,mise_mean,mise_sd,s_0,taed_mean,taed_sd
33,30,0.022,0.159897261604247,0.000679678906548454,0.0012204301540302,0.98,0.00135670576984555,0.00243062071210072
33,60,0,0,0.000278031324813412,0.000419345642477123,1,0.000556062649626825,0.000838691284954246
33,120,0,0,0.000144803257745622,0.000235034133300956,1,0.000289606515491244,0.000470068266601911
33,300,0,0,6.88269446154897e-05,9.38198003100558e-05,1,0.000137653889230979,0.000187639600620112
65,30,0.002,0.0447213595499958,0.000313961566069283,0.000447606775412962,0.998,0.000627791913333442,0.000893772555864983
65,60,0,0,0.000147707170086282,0.000210216093762999,1,0.000295414340172563,0.000420432187525998
65,120,0,0,7.6871558339776e-05,0.000104552998067149,1,0.000153743116679552,0.000209105996134298
65,300,0,0,3.08279723735262e-05,4.34897392953721e-05,1,6.16559447470524e-05,8.69794785907441e-05
129,30,0,0,0.000148717573969298,0.000203246886391834,1,0.000297435147938597,0.000406493772783668
129,60,0,0,7.77093847852141e-05,0.000108062038623917,1,0.000155418769570428,0.000216124077247834
129,120,0,0,3.79477380696196e-05,5.45286601279254e-05,1,7.58954761392392e-05,0.000109057320255851
129,300,0,0,1.36014991530254e-05,2.0711217295404e-05,1,2.72029983060509e-05,4.14224345908079e-05
