T,N,hd1.ml,hd1.r,hd2.ml,hd2.r,mise1.ml,mise1.r,mise2.ml,mise2.r,s_est,s_est1,s_est2
33,25,0.22418181818181818,0.21153524192198211,0.1590909090909091,0.26072317376665216,0.0369073549338665,0.229755345786712,0.0438250048476711,0.274757720480284,3.714,1.154,1.588
33,50,0.1866060606060606,0.11078364694324788,0.1521212121212121,0.17915557246101182,0.0116348106297712,0.129767336179997,0.0119806571293565,0.179713845939429,3.116,1.106,1.718
33,100,0.18193939393939393,0.04766414141414152,0.15151515151515152,0.06163636363636363,0.00485557107918218,0.0337408191052408,0.00495814865459526,0.0634110642765714,3.008,1.128,2.068
33,200,0.18181818181818182,0.02538410153640615,0.15151515151515152,0.01103030303030303,0.0026034218482509,0.0104417570610004,0.0027152506604472,0.0281949982680007,3,1.094,2.068
65,25,0.20670769230769231,0.25681318681318616,0.15495384615384614,0.27118409680207384,0.0217717429615016,0.190057511902033,0.0254165236024034,0.259902259063188,3.85,1.674,1.99
65,50,0.17689230769230768,0.18037262497694154,0.154,0.1946302091912369,0.00611091162172794,0.116767843377802,0.00717516524077484,0.175039672344051,3.186,1.428,1.988
65,100,0.16923076923076924,0.07285067873303169,0.1538153846153846,0.07892708493910892,0.0026744720187965,0.0300862727337535,0.00267491520514301,0.0446223689820352,3.006,1.248,2.204
65,200,0.16923076923076924,0.035393864652381694,0.15384615384615385,0.019230769230769232,0.00137687509786468,0.00548022442036877,0.00131266907773543,0.00898188859831257,3,1.14,2.132
129,25,0.21248062015503877,0.3220442637311783,0.16190697674418605,0.2601975857789814,0.015926870500511,0.148853891289616,0.0199201094842344,0.225458563102241,4.184,2.646,3
129,50,0.17982945736434108,0.221287229702162,0.16297674418604652,0.2179373957413403,0.00371526579814719,0.0932305091104917,0.00440977342619206,0.162193660586713,3.33,1.834,2.344
129,100,0.1705891472868217,0.10798400237001939,0.16279069767441862,0.10071267816954263,0.00136609063185344,0.0316446276155632,0.00142323283000827,0.0493059905789688,3.006,1.378,2.318
129,200,0.17054263565891473,0.0593279582420655,0.16279069767441862,0.03489922480620155,6.85143578501315e-4,0.00195315631121857,6.84671841897507e-4,0.00331122332967692,3,1.244,2.24
