dgp,T,S,N,s_est_mean,s_est_sd,mise_mean,mise_sd,mdcj_mean,mdcj_sd,hd_mean,hd_sd,s_0,additional_info
2,33,1,30,2.814,2.03954000865239,0.0163722415199202,0.0141753372697342,0,0,6.554,6.1166912480235,0,nsim = 500
2,33,1,60,1.422,0.877185789795776,0.00391273916154407,0.00464863992365425,0,0,2.172,4.34697692849107,0,rng = 0
2,33,1,120,1.064,0.322664259639796,0.00110317001842739,0.00142106516755086,0,0,0.388,1.95271149029463,0,n.grid = 25
2,33,1,300,1.004,0.0631821491240675,0.000362218697586444,0.000392808446131594,0,0,0.032,0.632278064701128,0,ellapsed time = 119666.8448
2,33,2,30,3.788,1.96947039258134,0.0180585685391303,0.0141090011503365,0,0,3.94,3.69373623513503,0,
2,33,2,60,2.486,0.898564876720291,0.00517880903674242,0.00512889116908076,0,0,1.56,2.87662126457405,0,
2,33,2,120,2.098,0.341510261217776,0.00158158333944164,0.00163375662257305,0,0,0.348,1.35889262944381,0,
2,33,2,300,2.01,0.0995983919516716,0.00055443618688522,0.000525689106298239,0,0,0.046,0.548165093689739,0,
2,33,3,30,4.778,1.79866238431382,0.0190993712412452,0.0129148284967164,0,0,3.096,2.65648222196031,0,
2,33,3,60,3.446,0.862886519939085,0.00578138459503677,0.00517724629097245,0,0,0.962,1.80529059940404,0,
2,33,3,120,3.112,0.379135182980884,0.00206239798463662,0.00186516022445303,0,0,0.276,1.04977524075977,0,
2,33,3,300,3.004,0.0631821491240702,0.000665718070733361,0.000481986031582455,0,0,0.012,0.227947186514068,0,
2,65,1,30,1.604,1.38239141057229,0.00505940116648657,0.007388308936373,0,0,4.864,9.422476858039,0,
2,65,1,60,1.112,0.3895632413846,0.00127592222949658,0.00164126535582362,0,0,1.364,5.28387572576899,0,
2,65,1,120,1.006,0.0999198075251939,0.000428125062473576,0.000514815928187496,0,0,0.1,1.5909312129217,0,
2,65,1,300,1,0,0.000180367497410606,0.000182045626774783,0,0,0,0,0,
2,65,2,30,2.592,1.12608709445077,0.00601996692405333,0.00647432121834172,0,0,3.198,5.74463206786913,0,
