T,N,s_est,mise1_mean,mise1_sd,mise2_mean,mise2_sd,hd1_mean,hd1_sd,hd2_mean,hd2_sd,additional_info
33,25,4.828,0.0486644388465286,0.0373420307395437,0.049965501460559,0.0398679489623161,7.381,1.14767423782019,7.181,0.772551510150512,nsim =1000
33,50,4.142,0.0145374836040121,0.0110705658981206,0.0149145228783646,0.0116743415109698,7.02,0.235914509209701,7.015,0.181129257183397,rng =321
33,100,4.009,0.0063527267475363,0.00416625831305553,0.00646671593122105,0.00463549821652796,7.001,0.0316227766017381,7.001,0.0316227766017381,n.grid =40
33,200,4,0.00310842256182506,0.00199016946336898,0.00307931087935374,0.00198706378809325,7,0,7,0,ellapsed time =26164.3486
65,25,5.14,0.0320144516645434,0.0288095734201813,0.030829548647468,0.0277978863181284,13.646,1.85691468089736,13.667,1.76953164488297,
65,50,4.221,0.00828700848432375,0.0076563053991658,0.00842629164310379,0.00744568355239421,13.05,0.368287436163163,13.1,0.546166914320429,
65,100,4.018,0.00330028346626814,0.0021639654533035,0.00335946809907467,0.00223389985475165,13,0,13.006,0.189736659610122,
65,200,4,0.00161016822797379,0.00100157373600709,0.00163656743537623,0.00106072920414642,13,0,13,0,
129,25,5.668,0.0210932941876103,0.0203465671471075,0.0225141197920037,0.0225261359586641,27.565,3.69776262738003,27.643,3.60396164512603,
129,50,4.387,0.00521104768750477,0.00647819702725186,0.0051951177778222,0.0066333984754498,26.249,1.44259491198327,26.259,1.54541493046602,
129,100,4.022,0.00174069446879447,0.00113089752499287,0.00169068440561942,0.0012243719599552,26.005,0.0947838804014727,26.004,0.126491106406953,
129,200,4,0.000869791624642197,0.000558797145731167,0.000865643232847738,0.000543304383822699,26,0,26,0,
