T,N,s_est,mse1,mse2,mdcj1,mdcj2
33,25,4.2,0.053485858614721,0.0702098381420439,0.925,1.975
33,50,3.425,0.0193295845679508,0.0186538728276201,0.9625,1.9875
33,100,3.0625,0.00624017401872116,0.00723571756301241,1,2
33,200,3,0.00354546317972336,0.00314280696446906,1,2
65,25,4.175,0.0306321258382941,0.0395539313807117,1.2875,2.4375
65,50,3.3625,0.011589150393082,0.0130572330294857,1.15,2.0625
65,100,3.0625,0.00322944557462785,0.00379724017088309,1,1.9875
65,200,3,0.00184807757557736,0.00153563372600234,1,2
129,25,4.6875,0.0237714094607164,0.0285331460281432,1.575,2.9125
129,50,3.4875,0.00550559032416553,0.00897228936796539,1.0125,2.25
129,100,3.0625,0.00200763529336095,0.00203718662182065,1,2
129,200,3,0.000840110540405417,0.000858252112829063,1,2
