T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,25,4.858,0.0497588705664583,0.0490156787658515,7.346,7.238,nsim = 500
33,50,4.158,0.0147121862927224,0.015179980228257,7.046,7.046,rng = 321
33,100,4.004,0.00616576360656944,0.00615700147216663,7,7.002,n.grid = 40
33,200,4,0.00323695706926228,0.00313259849811472,7,7,ellapsed time = 103648.1909
65,25,5.03,0.0310086347365815,0.0294041668421929,13.464,13.528,
65,50,4.192,0.00809201220609731,0.00862806060692732,13.1,13.07,
65,100,4.008,0.0032674260168245,0.00329020098255274,13.002,13,
65,200,4,0.00167070870651405,0.00165176171386054,13,13,
129,25,5.61,0.0205243773634835,0.0199539360309976,27.53,27.484,
129,50,4.376,0.0053052859449297,0.00547238056320382,26.308,26.14,
129,100,4.008,0.00169976525527153,0.00182631933534129,26,26.002,
129,200,4,0.000840172570238666,0.000863624199049579,26,26,
