T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,25,5.25,0.0633497430691959,0.0591111883450009,9.25,6.75,nsim = 4
33,50,4,0.00987520521310414,0.019755413180052,7,7,rng = 321
33,100,4,0.00439018969438389,0.00252465302365347,7,7,n.grid = 40
33,200,4,0.00397373469662324,0.00263202987517801,7,7,ellapsed time = 259.4219
65,25,4.75,0.0261693189715882,0.0235189628848067,13,13,
65,50,4.25,0.0111853411942346,0.00645367238300198,13,13,
65,100,4,0.00335597648925354,0.00343899248820257,13,13,
65,200,4,0.00113770884080515,0.00171867883747699,13,13,
129,25,4.25,0.0172997336763904,0.00928417829846613,26.25,26.75,
129,50,4.25,0.00124808608263889,0.00390612780923629,26,26,
129,100,4,0.00177560565851402,0.0013206543694109,26,26,
129,200,4,0.000836807495409447,0.000853168036299499,26,26,
