T,N,s_est,mse1,mse2,mdcj1,mdcj2
33,25,3.75,0.0617427948872077,0.104517158201385,1.125,2.25
33,50,3.25,0.0154297370558962,0.0268639248850512,1,2.25
33,100,3,0.00837653022327123,0.00556163111539223,1,2
33,200,3,0.00443719197409237,0.0049090534921319,1,2
65,25,3.625,0.0507410175126455,0.0336416219068061,1.875,2.125
65,50,3.625,0.0094088432482807,0.00944506191210318,1,2
65,100,3.375,0.00345706805335077,0.00527115406148651,1,1.875
65,200,3,0.00111394595058862,0.00115705141452664,1,2
129,25,4.25,0.0266231220392086,0.0278063065684809,1.875,2.625
129,50,3.75,0.00510572022548437,0.00641381557557138,0.875,1.875
129,100,3.125,0.00194643280267133,0.00309276751209286,1,2.125
129,200,3,0.00079901023999123,0.0010387009018958,1,2
