T,N,s_est,mse1,mse2,mdcj1,mdcj2,additional_info
33,25,4.326,0.0634043522996116,0.0685774370722199,1.032,2.006,nsim = 500
33,50,3.358,0.0196912080036209,0.0205902457314725,0.988,1.986,rng = 321
33,100,3.03,0.00681974688952377,0.00673185781961263,1,1.996,n.grid = 50
33,200,3,0.0032753410414424,0.00341996175657535,1,2,ellapsed time = 38140.3556
65,25,4.382,0.0354453960853416,0.039754383928644,1.288,2.32,
65,50,3.374,0.0105501586216546,0.012110711372592,0.992,2.036,
65,100,3.036,0.00369487341789473,0.00358780699847097,1,1.99,
65,200,3.002,0.00172157136310486,0.00177778678901784,1,2,
129,25,4.61,0.0216137927039846,0.0307009506722158,1.606,3.126,
129,50,3.616,0.00585618890045081,0.00730669068416857,1.012,2.074,
129,100,3.058,0.00185215612429852,0.00192983330290201,1.002,1.992,
129,200,3,0.000873664526747428,0.000865524853307245,1,2,
