T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,25,3.7,0.044609255034231,0.0757857954063908,8.4,5.2,nsim = 10
33,50,3.2,0.0131895861406109,0.0115676204527383,6.8,5.3,rng = 321
33,100,3.1,0.00538526620765495,0.00757764964313959,6,5,n.grid = 20
33,200,3,0.0022980313839907,0.00218222974301151,6,5,ellapsed time = 1044.1445
65,25,3.9,0.0153189146664473,0.0222739317392316,16,11.1,
65,50,3,0.00436375104706688,0.0072500708631577,11,10,
65,100,3,0.00142890907460421,0.00144356226763673,11,10,
65,200,3,0.00186947911540608,0.00131755002292064,11,10,
129,25,4.3,0.011179573751897,0.0237118459143915,29,21.1,
129,50,3.3,0.00253321458888296,0.0034360324815829,23.4,21,
129,100,3,0.0015165975200741,0.00102784659860838,22,21,
129,200,3,0.000660816778376095,0.00080015161225723,22,21,
