T,N,s_est,mse1,mse2,hd1,hd2,additional_info
33,25,4.648,0.0390114111348801,0.0394526585765809,7.194,7.166,nsim = 500
33,50,4.1,0.0122855498416654,0.0119594480121122,7.014,7.004,rng = 321
33,100,4.002,0.00544326644912825,0.00507971756374496,7,7,n.grid = 40
33,200,4,0.00264523698742007,0.00269127768772021,7,7,ellapsed time = 29392.2837
65,25,4.902,0.025991840830706,0.0246927371053165,13.548,13.458,
65,50,4.126,0.00701657986487693,0.00697317356867288,13.038,13.066,
65,100,4.006,0.00290184494502803,0.00278649689862318,13.002,13,
65,200,4,0.00142156032627464,0.00137619599549453,13,13,
129,25,5.352,0.0179947820471761,0.0173180547235326,27.244,27.18,
129,50,4.232,0.0036553215620143,0.00421848212342915,26.21,26.106,
129,100,4.006,0.0014535485698761,0.00146918253085992,26,26,
129,200,4,0.000708732727921466,0.000747823780977438,26,26,
