dgp,T,S,N,s_est,mise,mdcj,hd,s_0,additional_info
2,33,1,25,3.642,0.0253542098186827,0,8.338,0,nsim = 500
2,33,1,50,1.644,0.00580081189057742,0,3.222,0,rng = 123
2,33,1,100,1.148,0.0016613552872399,0,1.004,0,n.grid = 50
2,33,1,200,1.012,0.000565389868717171,0,0.066,0,
2,33,2,25,4.424,0.0265690270469152,0.004,4.71,0,
2,33,2,50,2.688,0.00698012883532274,0,2.036,0,
2,33,2,100,2.158,0.00209149018685502,0,0.614,0,
2,33,2,200,2.02,0.000821464484281549,0,0.09,0,
2,33,3,25,5.418,0.0283337931846895,0.004,3.458,0,
2,33,3,50,3.714,0.00811949412087691,0,1.448,0,
2,33,3,100,3.16,0.00278138971416828,0,0.38,0,
2,33,3,200,3.016,0.00108970442660541,0,0.054,0,
2,65,1,25,2.09,0.00854764719860453,0.004,8.38,0,
2,65,1,50,1.154,0.00172420202599204,0,2.126,0,
2,65,1,100,1.016,0.000581953696584085,0,0.29,0,
2,65,1,200,1,0.000249412296895522,0,0,0,
2,65,2,25,3.194,0.0103645992158227,0.008,5.688,0,
2,65,2,50,2.194,0.00248404220596547,0,1.442,0,
2,65,2,100,2.03,0.000879455891223528,0,0.208,0,
2,65,2,200,2.004,0.000394247907556246,0,0.042,0,
2,65,3,25,4.292,0.0116336922638505,0.006,3.732,0,
2,65,3,50,3.254,0.00318416644325431,0,1.034,0,
2,65,3,100,3.044,0.00112734371185384,0,0.228,0,
2,65,3,200,3,0.000521305675454128,0,0,0,
2,129,1,25,1.208,0.00187707096867427,0.004,4.35,0,
2,129,1,50,1.024,0.000660320713510651,0,0.526,0,
2,129,1,100,1.002,0.000278656939057416,0,0.012,0,
2,129,1,200,1,0.000131400869789998,0,0,0,
2,129,2,25,2.288,0.00283056412847732,0.01,3.032,0,
2,129,2,50,2.024,0.000840748841911544,0,0.338,0,
2,129,2,100,2.002,0.000382103389456118,0,0.002,0,
2,129,2,200,2,0.000197752601509496,0,0,0,
2,129,3,25,3.32,0.00373139291234129,0.012,2.596,0,
2,129,3,50,3.048,0.00118302181134374,0,0.478,0,
2,129,3,100,3.006,0.000565948391148225,0,0.04,0,
2,129,3,200,3,0.000257516908925784,0,0,0,
3,33,1,25,3.364,0.0230938934320809,0.002,8.102,0,
3,33,1,50,1.804,0.00642647782023674,0,3.824,0,
3,33,1,100,1.134,0.00164629539695581,0,0.896,0,
3,33,1,200,1.01,0.000523627172963868,0,0.07,0,
3,33,2,25,4.364,0.0258716939140279,0.004,4.816,0,
3,33,2,50,2.71,0.00707383421122623,0,2.19,0,
3,33,2,100,2.178,0.00221852090709986,0,0.566,0,
