dgp,T,S,N,s_est,mse,mdcj,additional_info
2,33,1,25,9.788,0.105968100180798,0.706,nsim = 500
2,33,1,50,6.228,0.0396515189662568,0.848,rng = 123
2,33,1,100,2.956,0.0112693146445386,0.942,n.grid = 50
2,33,1,200,1.548,0.0030710918160923,0.984,
2,33,2,25,10.216,0.102981495073155,0.688,
2,33,2,50,6.962,0.0395833398460053,0.826,
2,33,2,100,4.156,0.0129626514284874,0.898,
2,33,2,200,2.66,0.00385949493576824,0.968,
2,33,3,25,10.838,0.105319502730853,0.746,
2,33,3,50,7.592,0.0406147934444066,0.834,
2,33,3,100,5.1,0.0139837163289173,0.916,
2,33,3,200,3.57,0.00410596458808462,0.984,
2,65,1,25,12.112,0.0777248051196074,0.818,
2,65,1,50,5.3,0.0214229127262172,0.936,
2,65,1,100,1.862,0.00408149160509656,0.99,
2,65,1,200,1.146,0.000944454055549281,0.998,
2,65,2,25,12.288,0.0758149257639937,0.826,
2,65,2,50,6.078,0.0217148705474818,0.916,
2,65,2,100,2.986,0.00509485833224731,0.99,
2,65,2,200,2.18,0.00129760763291613,0.99,
2,65,3,25,13.554,0.0808344787979468,0.832,
2,65,3,50,6.888,0.0224598263007711,0.934,
2,65,3,100,3.976,0.0054090701713945,0.98,
2,65,3,200,3.142,0.0014494749731314,0.996,
2,129,1,25,9.082,0.0370021871180785,0.916,
2,129,1,50,2.258,0.00518896780124279,0.986,
2,129,1,100,1.126,0.000910074911057681,1,
2,129,1,200,1.01,0.000309390321518415,0.998,
2,129,2,25,10.41,0.0401837791767608,0.968,
2,129,2,50,3.312,0.00608027285323637,0.988,
2,129,2,100,2.182,0.00128691325026446,0.998,
2,129,2,200,2.01,0.000456712818343404,1,
2,129,3,25,10.91,0.0405125801691326,0.952,
2,129,3,50,4.362,0.00694152286079068,0.978,
2,129,3,100,3.222,0.00170242493139742,0.998,
2,129,3,200,3.028,0.00062592760448905,0.998,
3,33,1,25,9.79,0.103658951392831,0.734,
3,33,1,50,6.058,0.0384450863276874,0.85,
3,33,1,100,2.922,0.0110717638485574,0.934,
3,33,1,200,1.498,0.00281843898508745,0.98,
3,33,2,25,10.398,0.103245561653088,0.734,
3,33,2,50,6.948,0.0402019646730895,0.824,
